RCDTS,RCDT,Site_Number,Site_County,District_Clean,City_Clean,Site_Address,Site_Zip,School_Name_Clean,Title_1_Status,#_Student_Enrollment,%_Student_Enrollment_-_Low_Income,Student_Attendance_Rate,Student_Chronic_Truancy_Rate,Chronically_Truant_Students,High_School_Dropout_Rate_-_Total,High_School_4-Year_Graduation_Rate_-_Total,Chronic_Absenteeism,Free_Eligibles,Reduced_Eligibles,PaidEligibles,Enrollment,Eligibility_Percent,Participates_in_CEP,Poverty_Level
010011720222017,01001172022,10036,Adams,quincy sd 172,quincy,4900 Columbus Rd,NA,dr abby fox rooney elementary school,Schoolwide Title I Program,537,62.9,94.8,7.2,30,NA,NA,16,318,32,190,540,64.81,Non-CEP,Mid-High Poverty
010011720223004,01001172022,10040,Adams,quincy sd 172,quincy,401 S 8th St,62301-4149,early childhood,NA,501,77.8,NA,NA,NA,NA,NA,NA,508,0,0,508,100,CEP,High Poverty
010050010260001,01005001026,14252,Brown,brown county cusd 1,mount sterling,500 E Main St,62353-1377,brown county high school,"Eligible, but Not a Participant in Title I Program",201,38.8,95.2,4.1,8,2.4,85.7,11.2,66,18,117,201,41.79,Non-CEP,Mid-Low Poverty
010050010261002,01005001026,14254,Brown,brown county cusd 1,mount sterling,504 E Main Street,62353-1377,brown county middle school,Schoolwide Title I Program,196,46.4,94.3,2.1,4,NA,NA,14.4,137,0,62,199,68.81,CEP,Mid-Low Poverty
010050010262002,01005001026,14253,Brown,brown county cusd 1,mount sterling,501 NW Cross St,62353-1149,brown county elementary school,Schoolwide Title I Program,312,50.3,94.8,6.1,12,NA,NA,16.6,236,0,76,312,75.599999999999994,CEP,Mid-High Poverty
010090150260007,01009015026,14257,Cass,beardstown cusd 15,beardstown,500 E 15th St,62618-2052,beardstown jrsr high school,"Eligible, but Not a Participant in Title I Program",896,78.2,93.7,10.7,87,8.1,77.4,21.4,609,103,207,919,77.48,Non-CEP,High Poverty
010090150262003,01009015026,14260,Cass,beardstown cusd 15,beardstown,400 E 15th St,62618-2054,gard elementary school,Targeted Assistance Title I Program,490,79.4,94.6,5,18,NA,NA,18.9,358,42,101,501,79.84,Non-CEP,High Poverty
010090150263002,01009015026,14262,Cass,beardstown cusd 15,beardstown,1301 Grand Ave,62618-8092,grand ave sch,"Eligible, but Not a Participant in Title I Program",174,44.8,NA,NA,NA,NA,NA,NA,121,8,49,178,72.47,Non-CEP,Mid-Low Poverty
010090640260003,01009064026,14263,Cass,virginia cusd 64,virginia,651 S Morgan St,62691-1547,virginia jr sr high school,"Eligible, but Not a Participant in Title I Program",145,50.3,95.5,11.5,14,3.8,75,14.7,58,8,85,151,43.71,Non-CEP,Mid-High Poverty
010090640262001,01009064026,14265,Cass,virginia cusd 64,virginia,651 S Morgan St,62691-1547,virginia elem school,Schoolwide Title I Program,162,55.6,95.1,0,0,NA,NA,12.9,74,5,87,166,47.59,Non-CEP,Mid-High Poverty
010092620260002,01009262026,14266,Cass,ac central cusd 262,ashland,PO Box 260,62612-0260,ac central high school,"Eligible, but Not a Participant in Title I Program",129,41.1,93.8,3.9,5,3.6,78.4,19.7,28,19,82,129,36.43,Non-CEP,Mid-Low Poverty
010092620261002,01009262026,14267,Cass,ac central cusd 262,ashland,PO Box 260,62612-0260,ac central middle school,Targeted Assistance Title I Program,117,44.4,94.5,3.5,4,NA,NA,13.3,37,9,71,117,39.32,Non-CEP,Mid-Low Poverty
010092620262001,01009262026,14268,Cass,ac central cusd 262,chandlerville,191 S Bluff St,62627-9128,ac central elementary school,Targeted Assistance Title I Program,166,48.2,95.6,5.6,5,NA,NA,14.5,68,8,74,150,50.67,Non-CEP,Mid-Low Poverty
010690010260001,01069001026,14272,Morgan,franklin cusd 1,franklin,110 State,62638-4933,franklin jrsr high school,Targeted Assistance Title I Program,217,33.2,94.4,2.3,5,4.8,92.3,15.9,62,12,141,215,34.42,Non-CEP,Mid-Low Poverty
010690060260001,01069006026,14280,Morgan,waverly cusd 6,waverly,201 N Miller St,62692-1041,waverly juniorsenior high school,"Eligible, but Not a Participant in Title I Program",165,38.2,92.5,7.6,10,1.7,89.3,29.5,44,11,110,165,33.33,Non-CEP,Mid-Low Poverty
010690060262002,01069006026,14281,Morgan,waverly cusd 6,waverly,499 W Elm St,62692-1039,waverly elementary school,Schoolwide Title I Program,204,36.3,95.6,0.7,1,NA,NA,8.9,69,16,93,178,47.75,Non-CEP,Mid-Low Poverty
010690110260001,01069011026,14282,Morgan,meredosiachambersburg cusd 11,meredosia,830 Main St,62665-0440,meredosiachambersburg high sch,"Eligible, but Not a Participant in Title I Program",47,51.1,92.7,10.5,5,5.6,75,31.4,39,0,9,48,80,CEP,Mid-High Poverty
010690110261001,01069011026,14283,Morgan,meredosiachambersburg cusd 11,meredosia,830 Main St,62665-0440,meredosiachambersburg jr high,"Eligible, but Not a Participant in Title I Program",38,65.8,92.9,13.6,5,NA,NA,24.6,35,0,3,38,90.43,CEP,Mid-High Poverty
010690110262003,01069011026,14284,Morgan,meredosiachambersburg cusd 11,meredosia,830 Main Street,62665-0440,meredosiachambersburg elem sch,Targeted Assistance Title I Program,110,75.5,94,2.9,2,NA,NA,27.1,113,0,0,113,100,CEP,High Poverty
010690270260001,01069027026,14286,Morgan,triopia cusd 27,concord,2204 Concord Arenzville Rd,62631-5017,triopia jrsr high school,"Eligible, but Not a Participant in Title I Program",180,37.2,95.1,2.8,5,0.8,100,10.7,45,10,125,180,30.56,Non-CEP,Mid-Low Poverty
010690270262002,01069027026,14287,Morgan,triopia cusd 27,concord,2206 Concord Arenzville Rd,62631-5017,triopia grade school,Targeted Assistance Title I Program,202,29.2,96.7,0,0,NA,NA,4.6,42,6,136,184,26.09,Non-CEP,Mid-Low Poverty
010691170220014,01069117022,14288,Morgan,jacksonville sd 117,jacksonville,1211 N Diamond St,62650-1223,jacksonville high school,"Eligible, but Not a Participant in Title I Program",970,47.8,89.9,26.9,273,11.7,67.8,37.1,447,19,531,997,46.74,Non-CEP,Mid-Low Poverty
010691170221013,01069117022,14289,Morgan,jacksonville sd 117,jacksonville,664 Lincoln Ave,62650-2384,jacksonville middle school,Schoolwide Title I Program,736,58.2,94.1,12.8,96,NA,NA,17.9,404,25,322,751,57.12,Non-CEP,Mid-High Poverty
010691170222001,01069117022,14290,Morgan,jacksonville sd 117,jacksonville,1901 W Lafayette Ave,62650-1010,eisenhower elem school,Schoolwide Title I Program,318,42.1,96.3,1.1,3,NA,NA,4.9,118,11,191,320,40.31,Non-CEP,Mid-Low Poverty
010691170222005,01069117022,14293,Morgan,jacksonville sd 117,jacksonville,524 S Kosciusko St,62650-2865,washington elem school,Schoolwide Title I Program,261,70.9,93,19.3,43,NA,NA,25.6,270,0,0,270,100,CEP,Mid-High Poverty
010691170222006,01069117022,14294,Morgan,jacksonville sd 117,jacksonville,320 W Independence Ave,62650-1350,lincoln elem school,Schoolwide Title I Program,243,86,93.5,20.4,41,NA,NA,22.9,247,0,0,247,100,CEP,High Poverty
010691170222007,01069117022,14295,Morgan,jacksonville sd 117,south jacksonville,1700 S West St,62650-3279,south jacksonville elem school,Schoolwide Title I Program,314,45.9,95.8,5.6,15,NA,NA,10.1,257,0,65,322,79.78,CEP,Mid-Low Poverty
010691170222008,01069117022,14296,Morgan,jacksonville sd 117,jacksonville,1626 State Highway 78 N,62650-6228,north jacksonville school,Schoolwide Title I Program,126,56.3,95.1,12.1,12,NA,NA,15.1,127,0,0,127,100,CEP,Mid-High Poverty
010691170222009,01069117022,14297,Morgan,jacksonville sd 117,murrayville,PO Box 170,62668-0170,murrayvillewoodson elem school,Schoolwide Title I Program,140,56.4,92.8,15.7,19,NA,NA,23.9,113,0,36,149,75.53,CEP,Mid-High Poverty
010750030260002,01075003026,10047,Pike,pleasant hill cusd 3,pleasant hill,PO Box 277,62366-0277,pleasant hill high school,"Eligible, but Not a Participant in Title I Program",74,60.8,90.2,23.7,17,9.9,89.5,39.1,41,2,31,74,58.11,Non-CEP,Mid-High Poverty
010750030262001,01075003026,10048,Pike,pleasant hill cusd 3,pleasant hill,PO Box 277,62366-0277,pleasant hill elem school,Schoolwide Title I Program,237,58.2,95,3.1,6,NA,NA,11.4,121,12,109,242,54.96,Non-CEP,Mid-High Poverty
010750040260002,01075004026,10049,Pike,griggsvilleperry cusd 4,griggsville,PO Box 439,62340-0439,griggsvilleperry high school,Schoolwide Title I Program,84,100,95.1,8.4,7,8.3,69.6,16.8,54,0,30,84,64,CEP,High Poverty
010750040261002,01075004026,10051,Pike,griggsvilleperry cusd 4,perry,PO Box 98,62362-0098,griggsvilleperry middle school,Schoolwide Title I Program,122,97.5,94.2,4.3,5,NA,NA,15.6,91,0,29,120,75.2,CEP,High Poverty
010750040262001,01075004026,10050,Pike,griggsvilleperry cusd 4,griggsville,PO Box 439,62340-0439,griggsvilleperry primary school,Schoolwide Title I Program,161,77.6,94.9,4.3,4,NA,NA,13.9,155,0,0,155,99.67,CEP,High Poverty
010750100260009,01075010026,10052,Pike,pikeland cusd 10,pittsfield,201 E Higbee St,62363-1946,pittsfield high school,"Eligible, but Not a Participant in Title I Program",323,36.5,93.6,6,18,4.6,86.1,22.9,112,12,200,324,38.270000000000003,Non-CEP,Mid-Low Poverty
010750100262007,01075010026,10053,Pike,pikeland cusd 10,pittsfield,655 Clarksville Rd,62363-1801,pittsfield south elem school,Targeted Assistance Title I Program,341,51.9,95.8,2.3,4,NA,NA,8.2,141,8,114,263,56.65,Non-CEP,Mid-High Poverty
010750100262010,01075010026,10054,Pike,pikeland cusd 10,pittsfield,601 Piper Ln,62363-1982,pikeland community school,Targeted Assistance Title I Program,559,48.1,95.2,4.8,27,NA,NA,13.9,268,22,275,565,51.33,Non-CEP,Mid-Low Poverty
010750120260001,01075012026,58726,Pike,western cusd 12,barry,401 McDonough St,62312-1031,western high school,"Eligible, but Not a Participant in Title I Program",140,62.1,94.2,3.9,6,5.2,89.5,20.6,77,14,52,143,63.64,Non-CEP,Mid-High Poverty
010750120261001,01075012026,58729,Pike,western cusd 12,kinderhook,PO Box 189,62345-0189,western jr high school,Targeted Assistance Title I Program,196,52,95.3,5.2,7,NA,NA,10.4,83,12,66,161,59.01,Non-CEP,Mid-High Poverty
010750120262001,01075012026,58727,Pike,western cusd 12,barry,401 McDonough St,62312-1031,western barry elem,Schoolwide Title I Program,225,65.3,95.1,6.5,14,NA,NA,11.1,125,23,80,228,64.91,Non-CEP,Mid-High Poverty
010860010260001,01086001026,14300,Scott,winchester cusd 1,winchester,200 W Cross St,62694-1243,winchester high school,"Eligible, but Not a Participant in Title I Program",182,37.4,93.3,5.6,10,2.2,88.7,16.3,59,10,112,181,38.119999999999997,Non-CEP,Mid-Low Poverty
010860010262002,01086001026,14301,Scott,winchester cusd 1,winchester,283 S Elm St,62694-1248,winchester elem school,Schoolwide Title I Program,436,49.3,94.7,4.8,17,NA,NA,10.5,177,18,216,411,47.45,Non-CEP,Mid-Low Poverty
010860020260001,01086002026,14303,Scott,scottmorgan cusd 2,bluffs,100 W Rockwood St,62621-8114,bluffs high school,"Eligible, but Not a Participant in Title I Program",64,51.6,94.6,3.1,2,1.5,100,13.9,42,0,22,64,65.08,CEP,Mid-High Poverty
010860020261001,01086002026,14304,Scott,scottmorgan cusd 2,bluffs,PO Box 230,62621-0230,bluffs junior high school,Schoolwide Title I Program,59,61,95.2,1.6,1,NA,NA,12.6,54,0,7,61,87.74,CEP,Mid-High Poverty
010860020262001,01086002026,14305,Scott,scottmorgan cusd 2,bluffs,PO Box 230,62621-0230,bluffs elementary school,Schoolwide Title I Program,105,49.5,94.9,5.2,4,NA,NA,14.3,98,0,9,107,91.43,CEP,Mid-Low Poverty
030030010260001,03003001026,10103,Bond,mulberry grove cusd 1,mulberry grove,801 W Wall St,62262-1049,mulberry grove sr high school,"Eligible, but Not a Participant in Title I Program",121,42.1,93,11.8,14,6.1,83.9,29.4,42,3,75,120,37.5,Non-CEP,Mid-Low Poverty
030030010261001,03003001026,10104,Bond,mulberry grove cusd 1,mulberry grove,801 W Wall St,62262-1049,mulberry grove jr high school,Schoolwide Title I Program,98,60.2,95.3,5.1,5,NA,NA,11.1,39,7,53,99,46.46,Non-CEP,Mid-High Poverty
030030010262001,03003001026,10105,Bond,mulberry grove cusd 1,mulberry grove,801 W Wall St,62262-1049,mulberry grove elem school,Schoolwide Title I Program,199,56.8,96.3,1.4,2,NA,NA,5.1,101,6,61,168,63.69,Non-CEP,Mid-High Poverty
030030020260001,03003002026,10106,Bond,bond county cusd 2,greenville,1000 E State Route 140,62246-4202,bond cty comm unit 2 high school,"Eligible, but Not a Participant in Title I Program",539,36.4,94.4,6.8,36,2.9,91.1,15.3,185,11,347,543,36.1,Non-CEP,Mid-Low Poverty
030030020261002,03003002026,10107,Bond,bond county cusd 2,greenville,1200 Jr High Dr,62246-4203,greenville jr high school,Schoolwide Title I Program,294,41.2,96.6,4.8,14,NA,NA,6.5,113,11,172,296,41.89,Non-CEP,Mid-Low Poverty
030030020262003,03003002026,10108,Bond,bond county cusd 2,greenville,800 N Dewey St,62246-1383,greenville elem school,Schoolwide Title I Program,640,53.8,99.1,0.5,2,NA,NA,1.1,352,23,231,606,61.88,Non-CEP,Mid-High Poverty
030030020262004,03003002026,10109,Bond,bond county cusd 2,pocahontas,4 E State St,62275-3038,pocahontas center,Schoolwide Title I Program,205,52.2,95.9,5.3,9,NA,NA,5.3,90,13,104,207,49.76,Non-CEP,Mid-High Poverty
030030020262005,03003002026,10110,Bond,bond county cusd 2,sorento,510 S Main St,62086-3017,sorento elem school,Schoolwide Title I Program,134,53,96.8,2.8,3,NA,NA,3.7,65,4,67,136,50.74,Non-CEP,Mid-High Poverty
030110010260002,03011001026,10418,Christian,morrisonville cusd 1,morrisonville,PO Box 13,62546-0013,morrisonville high school,"Eligible, but Not a Participant in Title I Program",80,26.3,94.8,3.9,3,3.6,87.5,16.8,19,9,52,80,35,Non-CEP,Mid-Low Poverty
030110010261001,03011001026,10419,Christian,morrisonville cusd 1,morrisonville,PO Box 13,62546-0013,morrisonville jr high school,"Eligible, but Not a Participant in Title I Program",59,54.2,94.1,3.7,2,NA,NA,14.9,22,11,27,60,55,Non-CEP,Mid-High Poverty
030110010262001,03011001026,10420,Christian,morrisonville cusd 1,morrisonville,PO Box 13,62546-0013,morrisonville elem school,Targeted Assistance Title I Program,171,35.7,95.3,1.6,2,NA,NA,12,58,12,109,179,39.11,Non-CEP,Mid-Low Poverty
030110030260006,03011003026,10421,Christian,taylorville cusd 3,taylorville,815 W Springfield Rd,62568-1245,taylorville sr high school,"Eligible, but Not a Participant in Title I Program",755,43.7,91.9,17,126,5.5,88.2,29.7,321,36,431,788,45.3,Non-CEP,Mid-Low Poverty
030110030261005,03011003026,10422,Christian,taylorville cusd 3,taylorville,120 E Bidwell St,62568-1358,taylorville jr high school,"Eligible, but Not a Participant in Title I Program",753,47.7,93.9,8.4,65,NA,NA,16.6,611,0,173,784,77.87,CEP,Mid-Low Poverty
030110030262001,03011003026,10423,Christian,taylorville cusd 3,taylorville,101 E Adams St,62568-2201,memorial elem school,Targeted Assistance Title I Program,307,54.1,94.8,6.1,19,NA,NA,12.8,283,0,31,314,89.94,CEP,Mid-High Poverty
030110030262003,03011003026,10425,Christian,taylorville cusd 3,taylorville,805 N Cherokee St,62568-1450,north elem school,Targeted Assistance Title I Program,546,58.1,94.2,5.6,16,NA,NA,17.7,542,0,10,552,98.06,CEP,Mid-High Poverty
030110030262005,03011003026,10427,Christian,taylorville cusd 3,stonington,500 E North,62567-9700,stonington elem school,Targeted Assistance Title I Program,58,50,93,4.7,1,NA,NA,19.2,42,0,16,58,71.53,CEP,Mid-Low Poverty
030110040260002,03011004026,10430,Christian,edinburg cusd 4,edinburg,100 E Martin St,62531-9713,edinburg high school,"Eligible, but Not a Participant in Title I Program",75,38.7,93.1,8,6,3.7,95.7,21.2,22,0,51,73,30.14,Non-CEP,Mid-Low Poverty
030110040261001,03011004026,10431,Christian,edinburg cusd 4,edinburg,100 E Martin St,62531-9713,edinburg jr high school,"Eligible, but Not a Participant in Title I Program",35,45.7,94,14.3,5,NA,NA,22.8,14,1,21,36,41.67,Non-CEP,Mid-Low Poverty
030110040262001,03011004026,10432,Christian,edinburg cusd 4,edinburg,100 E Martin St,62531-9713,edinburg elem school,Targeted Assistance Title I Program,115,51.3,96.1,7.6,7,NA,NA,12.9,38,6,66,110,40,Non-CEP,Mid-High Poverty
030110080260006,03011008026,10434,Christian,pana cusd 8,pana,PO Box 377,62557-0377,pana sr high school,"Eligible, but Not a Participant in Title I Program",394,55.8,92,11.9,47,4,85.8,24.6,191,23,181,395,54.18,Non-CEP,Mid-High Poverty
030110080261005,03011008026,10435,Christian,pana cusd 8,pana,PO Box 377,62557-0377,pana jr high school,Schoolwide Title I Program,297,64.6,93.8,10.3,31,NA,NA,21.3,170,12,116,298,61.07,Non-CEP,Mid-High Poverty
030110080262001,03011008026,10436,Christian,pana cusd 8,pana,PO Box 377,62557-0377,lincoln elem school,Schoolwide Title I Program,277,70.4,95.4,2.2,6,NA,NA,11.9,169,20,91,280,67.5,Non-CEP,Mid-High Poverty
030110080262003,03011008026,10437,Christian,pana cusd 8,pana,PO Box 377,62557-0377,washington elem school,Schoolwide Title I Program,312,66.7,93.7,12.5,22,NA,NA,19.9,202,13,105,320,67.19,Non-CEP,Mid-High Poverty
030110140240001,03011014024,10438,Christian,south fork sd 14,kincaid,PO Box 20,62540-4457,south fork jr sr high school,Schoolwide Title I Program,151,57.6,91.3,21.3,31,3.3,66.7,29.5,98,0,54,152,64.36,CEP,Mid-High Poverty
030110140242001,03011014024,10439,Christian,south fork sd 14,kincaid,PO Box 20,62540-4532,south fork elementary school,Schoolwide Title I Program,168,61.3,94,7.2,8,NA,NA,14.4,110,0,26,136,80.55,CEP,Mid-High Poverty
030250100260001,03025010026,10114,Effingham,altamont cusd 10,altamont,7 S Ewing St,62411-1265,altamont high school,"Eligible, but Not a Participant in Title I Program",224,37.5,94.4,10.3,23,4.9,85.1,21.4,66,10,149,225,33.78,Non-CEP,Mid-Low Poverty
030250100262002,03025010026,10115,Effingham,altamont cusd 10,altamont,407 S Edwards St,62411-1701,altamont grade school,Schoolwide Title I Program,418,61.5,96.6,1.4,5,NA,NA,6.6,202,29,208,439,52.62,Non-CEP,Mid-High Poverty
030250200260001,03025020026,10116,Effingham,beecher city cusd 20,beecher city,438 E State Highway 33,62414-2219,beecher city jrsr high school,Targeted Assistance Title I Program,157,41.4,96,6.2,10,1.1,88.9,10.6,58,6,93,157,40.76,Non-CEP,Mid-Low Poverty
030250200262003,03025020026,10117,Effingham,beecher city cusd 20,beecher city,306 E Vine,62414-0098,beecher city grade school,Targeted Assistance Title I Program,170,41.2,97.2,0.9,1,NA,NA,1.9,60,10,69,139,50.36,Non-CEP,Mid-Low Poverty
030250300260001,03025030026,10119,Effingham,dieterich cusd 30,dieterich,PO Box 187,62424-0187,dieterich jrsr high school,"Eligible, but Not a Participant in Title I Program",194,21.1,96.4,2.6,5,1.7,100,7.2,43,14,139,196,29.08,Non-CEP,Low Poverty
030250300262002,03025030026,10120,Effingham,dieterich cusd 30,dieterich,PO Box 187,62424-0187,dieterich elem school,Targeted Assistance Title I Program,326,23.3,97.2,0,0,NA,NA,4.2,101,19,211,331,36.25,Non-CEP,Low Poverty
030250400261001,03025040026,15106,Effingham,effingham cusd 40,effingham,600 S Henrietta St,62401-1951,effingham junior high school,"Eligible, but Not a Participant in Title I Program",594,50.2,95.8,6.9,42,NA,NA,11.2,267,32,297,596,50.17,Non-CEP,Mid-High Poverty
030250400262002,03025040026,10122,Effingham,effingham cusd 40,effingham,3901 S Banker St.,62401-5405,central grade school,Schoolwide Title I Program,658,50.3,96.6,1.6,10,NA,NA,4,300,18,300,618,51.46,Non-CEP,Mid-High Poverty
030250400262006,03025040026,10125,Effingham,effingham cusd 40,effingham,3224 S Banker St,62401-2910,early learning center,Schoolwide Title I Program,185,49.7,NA,NA,NA,NA,NA,NA,88,8,81,177,54.24,Non-CEP,Mid-Low Poverty
030250400262008,03025040026,10126,Effingham,effingham cusd 40,effingham,211 W Douglas Ave,62401-2720,south side grade school,Schoolwide Title I Program,294,52.7,96.2,1.3,4,NA,NA,6,136,17,140,293,52.22,Non-CEP,Mid-High Poverty
030250500260001,03025050026,10129,Effingham,teutopolis cusd 50,teutopolis,801 W Main St,62467-1271,teutopolis high school,"Eligible, but Not a Participant in Title I Program",334,2.1,97.9,0.3,1,0.9,91.6,1.5,28,5,301,334,9.8800000000000008,Non-CEP,Low Poverty
030250500261001,03025050026,15107,Effingham,teutopolis cusd 50,teutopolis,904 W Water St,62467-1050,teutopolis junior high school,"Eligible, but Not a Participant in Title I Program",154,0.6,99.8,0,0,NA,NA,0,11,5,138,154,10.39,Non-CEP,Low Poverty
030250500262002,03025050026,10130,Effingham,teutopolis cusd 50,teutopolis,309 E Main St,62467-1314,teutopolis grade school,Targeted Assistance Title I Program,561,1.4,99.7,0.2,1,NA,NA,0,38,12,492,542,9.23,Non-CEP,Low Poverty
030262010260003,03026201026,10135,Fayette,brownstown cusd 201,brownstown,421 S College Ave,62418-1129,brownstown high school,Schoolwide Title I Program,80,58.8,89.9,18.2,16,5.1,82.6,47.2,67,0,13,80,83.2,CEP,Mid-High Poverty
030262010261001,03026201026,10136,Fayette,brownstown cusd 201,brownstown,421 S College Ave,62418-1129,brownstown jr high school,Schoolwide Title I Program,52,46.2,94.6,7.3,4,NA,NA,16.4,52,0,0,52,100,CEP,Mid-Low Poverty
030262010262001,03026201026,10137,Fayette,brownstown cusd 201,brownstown,460 W South St,62418-1120,brownstown elem school,Schoolwide Title I Program,241,49,95.7,4.2,7,NA,NA,9.5,203,0,0,203,100,CEP,Mid-Low Poverty
030262020260002,03026202026,10138,Fayette,st elmo cusd 202,saint elmo,300 W 12th St,62458-1324,st elmo sr high school,Schoolwide Title I Program,110,46.4,95,4.5,5,9.4,83.3,11.7,93,0,27,120,77.38,CEP,Mid-Low Poverty
030262020261001,03026202026,10139,Fayette,st elmo cusd 202,saint elmo,300 W 12th St,62458-1324,st elmo jr high school,Schoolwide Title I Program,68,51.5,94.7,8.3,6,NA,NA,13.8,72,0,0,72,100,CEP,Mid-High Poverty
030262020262001,03026202026,10140,Fayette,st elmo cusd 202,saint elmo,519 W 2nd St,62458-1153,st elmo elem school,Schoolwide Title I Program,243,56.4,95.3,4.3,8,NA,NA,12.3,217,0,0,217,100,CEP,Mid-High Poverty
030262030260001,03026203026,10141,Fayette,vandalia cusd 203,vandalia,1109 N 8th St,62471-1240,vandalia community high school,"Eligible, but Not a Participant in Title I Program",407,50.4,92.9,11.4,46,3.9,84.1,26.6,171,20,215,406,47.04,Non-CEP,Mid-High Poverty
030262030262008,03026203026,48740,Fayette,vandalia cusd 203,vandalia,1017 W Fletcher St,62471-1007,vandalia elementary school,Schoolwide Title I Program,489,59.9,94.9,9.1,28,NA,NA,13.3,287,27,208,522,60.15,Non-CEP,Mid-High Poverty
030262030262009,03026203026,10142,Fayette,vandalia cusd 203,vandalia,1011 W Fletcher St,62471-1007,vandalia junior high school,Schoolwide Title I Program,526,59.5,95,3,16,NA,NA,11.2,267,21,243,531,54.24,Non-CEP,Mid-High Poverty
